,0
85,0.9659083449939002
86,0.9659083449939002
87,0.9659083449939002
88,0.9659083449939002
89,0.9659083449939002
90,0.9659083449939002
91,0.9659083449939002
92,0.9659083449939002
93,0.9659083449939002
94,0.9659083449939002
95,0.9659083449939002
96,0.9659083449939002
97,0.9659083449939002
98,0.9659083449939002
99,0.9659083449939002
100,0.9659083449939002
101,0.9659083449939002
102,0.9659083449939002
103,0.9659083449939002
104,0.9659083449939002
105,0.9659083449939002
106,0.9659083449939002
107,0.9659083449939002
108,0.9659083449939002
109,0.9659083449939002
110,0.9659083449939002
111,0.9659083449939002
112,0.9659083449939002
