Close Price,High Price,Open Price,Low Price
0.9140344938312476,0.8366467931092207,0.9822745010209746,0.9733879551692893
0.8765646964539134,0.7866580147597139,0.9343097729251482,0.9388429930210257
0.8406763352262742,0.7517872911796963,0.9133040631361831,0.9292177120123947
0.8086758976522386,0.7190375821148117,0.884013372336341,0.9020241361147994
0.772632813210233,0.6883852993882921,0.858403181955889,0.8733033778036408
0.7402717729544523,0.658048607306455,0.828341122516382,0.8435675925727415
0.7109486085660746,0.6314956809975332,0.8014959490746446,0.816725349370029
0.6836294029933994,0.6075439491916783,0.7766281943103212,0.7910433807758828
0.6578568660743815,0.5853458793677829,0.7535258594660147,0.7667429524689062
0.6337951773895485,0.5646629905789088,0.7318087550468835,0.7438532237367679
0.6114305030558501,0.5454682303275227,0.7115516469989466,0.7224836678184852
0.5906540015409026,0.5276782219485459,0.6927053323037972,0.7025704458747991
0.5713460533624519,0.5111747448222754,0.6751879591338513,0.6840358173774796
0.5534036595096514,0.49585524531132874,0.6589079208595854,0.6667951571608413
0.5367336327260827,0.4816301390222496,0.6437796441613268,0.6507666056438065
0.5212480047722343,0.4684203335325944,0.6297242575013124,0.6358706227504054
0.5068638496616626,0.4561527451847263,0.6166672211644756,0.6220303984304979
0.4935033079263426,0.44475982455638097,0.6045387231217578,0.6091729581508494
0.4810937878248051,0.4341788644096201,0.593273206613667,0.5972294814653563
0.46956774604826335,0.42435178805945817,0.5828095437915979,0.5861355862246187
0.45886239632288994,0.41522476349788184,0.5730908062278265,0.575831185057558
0.4489193709108475,0.406747863561684,0.5640640623017168,0.566260306577411
0.4396844234391284,0.39887474658425404,0.5556801003385023,0.5573708569534013
0.431107149876861,0.39156238673368654,0.5478931840651472,0.5491143907334302
0.42314072544422193,0.38477083182087185,0.5406608157664005,0.5414458765760002
0.4157416543910382,0.3784629813231796,0.5339435144960205,0.5343234699087981
0.4088695352404297,0.3726043808562411,0.527704605457537,0.5277082942960171
0.40248684173194504,0.3671630320437871,0.5219100225347806,0.5215642349914733
